,city,btotal_orders,etotal_orders,b_basket,e_basket,b_frequency,e_frequency,%b_users,%e_users
1,Βόλος,36454,77529,5.127786251165853,8.084162184472907,3.732746262543518,4.430481741813818,0.21503174278107723,0.14286530658894794
2,Λάρισα,22075,84943,5.404476557191392,8.906952073743568,3.0960729312762973,3.845662803332126,0.29453015427769985,0.11318362911988411
3,Ξάνθη,21938,49401,4.887138754672258,7.232082548936256,4.271417445482866,5.35396120082367,0.40887850467289716,0.2709439687872548
4,Ιωάννινα,21572,67972,5.755508066011496,9.117966368504678,3.1150902527075814,4.031314868631754,0.30324909747292417,0.14827115829428858
5,Ρόδος,17335,50730,6.248684741851745,10.312610486891385,3.715173596228033,4.547736441057822,0.45006429489927136,0.22411474675033619
